ensg	ensp	name
ENSMUSG00000025597	ENSMUSP00000038080 	Klhl4
ENSMUSG00000038037	ENSMUSP00000038121 	Socs1
ENSMUSG00000029475	ENSMUSP00000038229 	Kdm2b
ENSMUSG00000041130	ENSMUSP00000038367 	Zfp598
ENSMUSG00000037463	ENSMUSP00000038432 	Fbxo27
ENSMUSG00000034768	ENSMUSP00000038450 	Asb16
ENSMUSG00000035696	ENSMUSP00000038477 	Rnf38
ENSMUSG00000005501	ENSMUSP00000038533 	Usp40
ENSMUSG00000037104	ENSMUSP00000038591 	Socs5
ENSMUSG00000033313	ENSMUSP00000038638 	Fbxl8
ENSMUSG00000036309	ENSMUSP00000038744 	Skp1a
ENSMUSG00000035299	ENSMUSP00000038765 	Mid1
ENSMUSG00000052299	ENSMUSP00000038775 	Ltn1
ENSMUSG00000041773	ENSMUSP00000038783 	Enc1
ENSMUSG00000036241	ENSMUSP00000038813 	Ube2r2
ENSMUSG00000039738	ENSMUSP00000038871 	Slx4
ENSMUSG00000040164	ENSMUSP00000038901 	Kcns1
ENSMUSG00000040350	ENSMUSP00000039011 	Trim7
ENSMUSG00000033107	ENSMUSP00000039074 	Rnf125
ENSMUSG00000041000	ENSMUSP00000039121 	Trim62
ENSMUSG00000038822	ENSMUSP00000039206 	Hace1
ENSMUSG00000033933	ENSMUSP00000039418 	Vhl
ENSMUSG00000090112	ENSMUSP00000039422 	Shprh
ENSMUSG00000035890	ENSMUSP00000039486 	Rnf126
ENSMUSG00000035191	ENSMUSP00000039519 	Rfpl4
ENSMUSG00000038365	ENSMUSP00000039544 	Fbxo25
ENSMUSG00000041241	ENSMUSP00000039604 	Mul1
ENSMUSG00000040550	ENSMUSP00000039608 	Otud6b
ENSMUSG00000045409	ENSMUSP00000039790 	Trim39
ENSMUSG00000036712	ENSMUSP00000039834 	Cyld
ENSMUSG00000038250	ENSMUSP00000039943 	Usp38
ENSMUSG00000040525	ENSMUSP00000039955 	Cblc
ENSMUSG00000032586	ENSMUSP00000040001 	Traip
ENSMUSG00000029804	ENSMUSP00000040025 	Herc3
ENSMUSG00000063317	ENSMUSP00000040037 	Usp31
ENSMUSG00000035764	ENSMUSP00000040168 	Fbxo45
ENSMUSG00000039982	ENSMUSP00000040229 	Dtx4
ENSMUSG00000053490	ENSMUSP00000040299 	Trim60
ENSMUSG00000042607	ENSMUSP00000040331 	Asb4
ENSMUSG00000039615	ENSMUSP00000040431 	Stub1
ENSMUSG00000039328	ENSMUSP00000040478 	Rnf122
ENSMUSG00000036913	ENSMUSP00000040601 	Trim67
ENSMUSG00000037730	ENSMUSP00000040695 	Mynn
ENSMUSG00000041528	ENSMUSP00000040803 	Rnf123
ENSMUSG00000038485	ENSMUSP00000040896 	Socs7
ENSMUSG00000040351	ENSMUSP00000040946 	Ankib1
ENSMUSG00000037730	ENSMUSP00000041034 	Mynn
ENSMUSG00000034532	ENSMUSP00000041066 	Fbxo16
ENSMUSG00000035941	ENSMUSP00000041145 	Ibtk
ENSMUSG00000036782	ENSMUSP00000041190 	Klhl13
ENSMUSG00000041712	ENSMUSP00000041247 	Ubr7
ENSMUSG00000042506	ENSMUSP00000041263 	Usp22
ENSMUSG00000038997	ENSMUSP00000041293 	Asb17
ENSMUSG00000038429	ENSMUSP00000041299 	Usp5
ENSMUSG00000035298	ENSMUSP00000041363 	Klhl35
ENSMUSG00000039100	ENSMUSP00000041409 	March6
ENSMUSG00000038204	ENSMUSP00000041539 	Asb10
