ensg	ensp	name
ENSG00000161243	ENSP00000292853 	FBXO27
ENSG00000161594	ENSP00000293303 	KLHL10
ENSG00000161664	ENSP00000293414 	ASB16
ENSG00000161677	ENSP00000293431 	JOSD2
ENSG00000161940	ENSP00000293805 	BCL6B
ENSG00000162063	ENSP00000293968 	CCNF
ENSG00000188827	ENSP00000294008 	SLX4
ENSG00000114737	ENSP00000294173 	CISH
ENSG00000162298	ENSP00000294256 	SYVN1
ENSG00000162300	ENSP00000294258 	ZFPL1
ENSG00000162402	ENSP00000294383 	USP24
ENSG00000162931	ENSP00000295033 	TRIM17
ENSG00000162975	ENSP00000295082 	KCNF1
ENSG00000163012	ENSP00000295131 	ZSWIM2
ENSG00000163013	ENSP00000295133 	FBXO41
ENSG00000163162	ENSP00000295317 	RNF149
ENSG00000163376	ENSP00000295568 	KBTBD8
ENSG00000163481	ENSP00000295704 	RNF25
ENSG00000078140	ENSP00000295963 	UBE2K
ENSG00000138100	ENSP00000296098 	TRIM54
ENSG00000163840	ENSP00000296161 	DTX3L
ENSG00000163930	ENSP00000296288 	BAP1
ENSG00000164049	ENSP00000296438 	FBXW12
ENSG00000164122	ENSP00000296525 	ASB5
ENSG00000109670	ENSP00000296555 	FBXW7
ENSG00000164164	ENSP00000296579 	OTUD4
ENSG00000145868	ENSP00000296701 	FBXO38
ENSG00000151876	ENSP00000296812 	FBXO4
ENSG00000072803	ENSP00000296933 	FBXW11
ENSG00000164663	ENSP00000297229 	USP49
ENSG00000147573	ENSP00000297348 	TRIM55
ENSG00000164794	ENSP00000297404 	KCNV1
ENSG00000165338	ENSP00000298068 	HECTD2
ENSG00000165355	ENSP00000298097 	FBXO33
ENSG00000100505	ENSP00000298355 	TRIM9
ENSG00000204977	ENSP00000298772 	TRIM13
ENSG00000165917	ENSP00000298853 	RAPSN
ENSG00000165917	ENSP00000298854 	RAPSN
ENSG00000011114	ENSP00000298896 	BTBD7
ENSG00000166006	ENSP00000298972 	KCNC2
ENSG00000166016	ENSP00000298992 	ABTB2
ENSG00000135679	ENSP00000299252 	MDM2
ENSG00000166233	ENSP00000299305 	ARIH1
ENSG00000166349	ENSP00000299440 	RAG1
ENSG00000166439	ENSP00000299563 	RNF169
ENSG00000155313	ENSP00000299574 	USP25
ENSG00000151116	ENSP00000300038 	UEVLD
ENSG00000166860	ENSP00000300101 	ZBTB39
ENSG00000166971	ENSP00000300245 	AKTIP
